Datum,28daysSmoothened,daysOfTrend
2007-10-09,7719.059285714286,16
2007-10-10,7731.502142857143,17
2007-10-11,7745.256071428571,18
2007-10-12,7756.666428571429,19
2007-10-15,7770.289285714286,20
2007-10-16,7782.465000000001,21
2007-10-17,7802.064285714286,22
2007-10-18,7821.562857142858,23
2007-10-19,7836.785000000001,24
2007-10-22,7848.283214285715,25
2007-10-23,7859.241071428572,26
2007-10-24,7871.070357142858,27
2007-10-25,7887.234285714286,28
2007-10-26,7900.589999999999,29
2007-10-29,7909.833928571429,30
2007-10-30,7918.507142857144,31
2007-10-31,7926.535357142858,32
2007-11-01,7929.854285714285,33
2007-11-02,7932.7132142857145,34
2007-11-05,7932.834642857143,0
2007-11-06,7931.884642857142,-1
2007-11-07,7929.674285714286,-2
2007-11-08,7925.9974999999995,-3
2007-11-09,7921.197857142856,-4
2007-11-12,7915.895714285713,-5
2007-11-13,7909.916071428573,-6
2007-11-14,7902.092142857143,-7
2007-11-15,7891.115714285714,-8
2007-11-16,7877.966428571429,-9
2007-11-19,7861.016428571429,-10
2007-11-20,7846.610000000001,-11
2007-11-21,7827.937142857142,-12
2007-11-22,7813.388214285714,-13
2007-11-23,7800.756785714285,-14
2007-11-26,7785.8264285714295,-15
2007-11-27,7771.896071428571,-16
2007-11-28,7766.165357142857,-17
2007-11-29,7765.102857142857,0
2007-11-30,7766.093214285715,1
2007-12-03,7766.389642857143,0
2007-12-04,7761.978928571428,-1
2007-12-05,7761.821785714286,-2
2007-12-06,7759.354285714285,0
2007-12-07,7759.930357142856,1
2007-12-10,7760.435357142857,2
2007-12-11,7765.027142857143,3
2007-12-12,7773.121071428571,4
2007-12-13,7777.433928571429,5
2007-12-14,7781.761428571429,6
2007-12-17,7782.683571428572,7
2007-12-18,7783.800357142857,8
2007-12-19,7784.6903571428575,9
2007-12-20,7786.9171428571435,10
2007-12-21,7794.956785714285,11
2007-12-27,7804.081428571429,12
2007-12-28,7818.3775000000005,13
2008-01-02,7830.407857142856,14
2008-01-03,7844.566428571428,15
2008-01-04,7850.937142857142,16
2008-01-07,7861.606785714286,17
2008-01-08,7871.888571428572,18
2008-01-09,7878.0939285714285,19
2008-01-10,7883.2985714285705,20
2008-01-11,7889.962857142857,21
2008-01-14,7890.261428571428,0
2008-01-15,7883.161071428572,-1
2008-01-16,7868.912857142857,-2
2008-01-17,7853.779642857143,-3
2008-01-18,7836.109285714286,-4
2008-01-21,7794.874285714285,-5
2008-01-22,7753.048928571428,-6
2008-01-23,7697.518214285715,-7
2008-01-24,7654.222142857143,-8
2008-01-25,7611.626428571429,-9
2008-01-28,7566.7239285714295,-10
2008-01-29,7529.747142857143,-11
2008-01-30,7491.425357142857,-12
2008-01-31,7456.6507142857145,-13
2008-02-01,7425.148214285714,-14
2008-02-04,7395.261428571428,-15
2008-02-05,7355.834999999999,-16
2008-02-06,7314.579285714286,-17
2008-02-07,7267.976428571428,-18
2008-02-08,7221.546428571428,-19
2008-02-11,7178.490357142858,-20
2008-02-12,7144.898571428572,-21
2008-02-13,7115.0764285714295,-22
2008-02-14,7084.544642857143,-23
2008-02-15,7048.203214285714,-24
2008-02-18,7019.090357142857,-25
2008-02-19,6993.704642857143,-26
2008-02-20,6964.480714285714,-27
2008-02-21,6934.938928571429,-28
2008-02-22,6907.792857142857,-29
2008-02-25,6886.756785714286,-30
2008-02-26,6871.486785714286,-31
2008-02-27,6860.189642857144,0
2008-02-28,6862.772857142858,0
2008-02-29,6862.010714285715,0
2008-03-03,6870.965714285713,0
2008-03-04,6861.1075,-1
2008-03-05,6856.356428571428,-2
2008-03-06,6848.230000000001,-3
2008-03-07,6834.695357142858,-4
2008-03-10,6819.435714285713,-5
2008-03-11,6807.750714285714,-6
2008-03-12,6794.561428571428,-7
2008-03-13,6776.706785714286,-8
2008-03-14,6765.515714285714,-9
2008-03-17,6741.7582142857145,-10
2008-03-18,6729.603571428571,-11
2008-03-19,6715.101428571428,-12
2008-03-20,6699.974642857143,-13
2008-03-25,6684.148571428572,-14
2008-03-26,6666.848214285715,-15
2008-03-27,6653.126071428572,-16
2008-03-28,6643.392857142857,-17
2008-03-31,6627.943571428572,-18
2008-04-01,6617.873571428571,-19
2008-04-02,6613.507857142858,-20
2008-04-03,6607.681785714286,-21
2008-04-04,6606.149642857143,-22
2008-04-07,6603.952142857143,-23
2008-04-08,6596.3096428571425,-24
2008-04-09,6586.4349999999995,-25
2008-04-10,6580.785000000001,-26
2008-04-11,6575.6221428571425,-27
2008-04-14,6570.784285714287,0
2008-04-15,6572.2132142857145,1
2008-04-16,6572.896428571429,2
2008-04-17,6576.1285714285705,3
2008-04-18,6587.881785714286,4
2008-04-21,6599.97,5
2008-04-22,6607.246071428572,6
2008-04-23,6614.233928571429,7
2008-04-24,6625.689642857143,8
2008-04-25,6641.571071428572,9
2008-04-28,6668.107857142857,10
2008-04-29,6685.6775,11
2008-04-30,6706.663214285714,12
2008-05-02,6732.493214285714,13
2008-05-05,6751.327857142857,14
2008-05-06,6770.1792857142855,15
2008-05-07,6787.971785714285,16
2008-05-08,6806.2575,17
2008-05-09,6822.978928571429,18
2008-05-12,6834.251071428572,19
2008-05-13,6844.3492857142855,20
2008-05-14,6856.546428571429,21
2008-05-15,6867.891428571428,22
2008-05-16,6879.874285714285,23
2008-05-19,6896.087142857143,24
2008-05-20,6910.270714285713,25
2008-05-21,6922.288928571428,26
2008-05-22,6938.958928571429,27
2008-05-23,6952.871785714286,28
2008-05-26,6966.042857142857,29
2008-05-27,6975.179285714286,30
2008-05-28,6987.751785714287,31
2008-05-29,6995.321428571428,32
2008-05-30,7006.401428571428,33
2008-06-02,7016.418214285714,34
2008-06-03,7024.421785714286,35
2008-06-04,7029.568571428572,36
2008-06-05,7031.1846428571425,0
2008-06-06,7026.844642857142,-1
2008-06-09,7024.3550000000005,-2
2008-06-10,7018.007857142858,-3
2008-06-11,7003.973214285715,-4
2008-06-12,6991.9175000000005,-5
2008-06-13,6982.925357142857,-6
2008-06-16,6970.555,-7
2008-06-17,6960.7071428571435,-8
2008-06-18,6950.9121428571425,-9
2008-06-19,6939.67,-10
2008-06-20,6922.464642857143,-11
2008-06-23,6904.829642857142,-12
2008-06-24,6885.365714285714,-13
2008-06-25,6866.126071428572,-14
2008-06-26,6838.756785714286,-15
2008-06-27,6813.878571428571,-16
2008-06-30,6791.646071428571,-17
2008-07-01,6764.703571428572,-18
2008-07-02,6741.8953571428565,-19
2008-07-03,6720.4632142857145,-20
2008-07-04,6695.947142857142,-21
2008-07-07,6673.158214285714,-22
2008-07-08,6646.350357142857,-23
2008-07-09,6620.981428571429,-24
2008-07-10,6595.846785714285,-25
2008-07-11,6564.924285714286,-26
2008-07-14,6537.596428571429,-27
2008-07-15,6506.8775000000005,-28
2008-07-16,6483.7189285714285,-29
2008-07-17,6464.277500000001,-30
2008-07-18,6450.404285714286,-31
2008-07-21,6442.353571428571,-32
2008-07-22,6432.648928571429,-33
2008-07-23,6424.462142857143,-34
2008-07-24,6414.134285714285,-35
2008-07-25,6401.296785714286,-36
2008-07-28,6387.805357142858,-37
2008-07-29,6376.292142857143,-38
2008-07-30,6372.066428571428,-39
2008-07-31,6368.141428571429,-40
2008-08-01,6363.155714285715,-41
2008-08-04,6353.583214285715,0
2008-08-05,6355.693928571428,1
2008-08-06,6360.675357142857,2
2008-08-07,6365.145714285713,3
2008-08-08,6373.921071428571,4
2008-08-11,6384.785714285715,5
2008-08-12,6393.076071428572,6
2008-08-13,6398.4325,7
2008-08-14,6400.091785714286,8
2008-08-15,6405.149285714286,9
2008-08-18,6406.807142857143,0
2008-08-19,6406.001071428572,0
2008-08-20,6411.876071428572,1
2008-08-21,6413.187142857144,2
2008-08-22,6422.498571428571,3
2008-08-25,6427.555,4
2008-08-26,6430.028214285713,0
2008-08-27,6427.827499999999,-1
2008-08-28,6427.673928571428,-2
2008-08-29,6426.942142857143,-3
2008-09-01,6422.860357142857,0
2008-09-02,6425.637857142858,1
2008-09-03,6426.737142857142,0
2008-09-04,6424.180714285714,-1
2008-09-05,6414.489285714286,-2
2008-09-08,6407.475714285714,-3
2008-09-09,6398.684642857143,-4
2008-09-10,6392.0367857142855,-5
2008-09-11,6385.932857142857,-6
2008-09-12,6375.796785714287,-7
2008-09-15,6358.038571428571,-8
2008-09-16,6337.384285714286,-9
2008-09-17,6312.360357142857,-10
2008-09-18,6285.71,-11
2008-09-19,6269.908214285715,-12
2008-09-22,6258.678214285715,-13
2008-09-23,6245.3324999999995,-14
2008-09-24,6231.291428571429,-15
2008-09-25,6222.011071428571,-16
2008-09-26,6214.192142857143,-17
2008-09-29,6195.952142857142,-18
2008-09-30,6181.454285714286,-19
2008-10-01,6162.308214285715,-20
2008-10-02,6139.5824999999995,-21
2008-10-03,6120.172142857143,-22
2008-10-06,6086.814285714287,-23
2008-10-07,6047.746071428572,-24
2008-10-08,5997.436071428571,-25
2008-10-09,5942.621785714286,-26
2008-10-10,5872.116071428572,-27
2008-10-13,5821.936071428571,-28
2008-10-14,5783.351071428571,-29
2008-10-15,5738.143571428571,-30
2008-10-16,5679.538928571428,-31
2008-10-17,5627.6789285714285,-32
2008-10-20,5578.560714285713,-33
2008-10-21,5528.7575,-34
2008-10-22,5469.335357142857,-35
2008-10-23,5414.176071428572,-36
2008-10-24,5354.551071428571,-37
2008-10-27,5300.038928571428,-38
2008-10-28,5262.897142857143,-39
2008-10-29,5215.228214285714,-40
2008-10-30,5170.997857142857,-41
2008-10-31,5132.4064285714285,-42
2008-11-03,5095.7625,-43
2008-11-04,5063.7985714285705,-44
2008-11-05,5031.776071428571,-45
2008-11-06,4996.293571428571,-46
2008-11-07,4964.416428571429,-47
2008-11-10,4936.530714285715,-48
2008-11-11,4904.421785714286,-49
2008-11-12,4862.413571428572,-50
2008-11-13,4836.074642857143,-51
2008-11-14,4814.060714285714,-52
2008-11-17,4797.7625,-53
2008-11-18,4786.779285714286,-54
2008-11-19,4779.9857142857145,-55
2008-11-20,4749.905357142858,-56
