"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2024-01-01 14:03:48",624015000,12.66461,43.29603,157.1,10.6,155,0,9617387,"ASSOSA","ETAO",70,150,16,10,17,9.5,"DJIBOUTI","01-01 17:00"
"2024-01-01 14:26:49",636022834,12.60657,43.40865,298.0,13.6,297,0,9482847,"NAVIG8 MARTINEZ","A8XG4",89,190,38,9,23,13.7,"ARMED GUARDS ONBOARD","01-05 16:00"
"2024-01-01 15:00:01",370355000,12.62451,43.36708,298.6,15.7,302,0,9385685,"GAS ALKHALEEJ","3ESM3",80,182,43,13,23,7.7,"YANBU","01-04 10:00"
"2024-01-01 15:01:02",636022834,12.69883,43.32647,334.0,13.2,334,0,9482847,"NAVIG8 MARTINEZ","A8XG4",89,190,38,9,23,13.7,"ARMED GUARDS ONBOARD","01-05 16:00"
"2024-01-01 15:01:28",636021493,12.75817,43.25315,155.0,12.0,156,0,9292199,"BESIKTAS DARDANELLES","5LEF2",80,229,45,23,27,12.9,"ARMED GUARD ON BOARD","01-23 12:00"
"2024-01-01 16:02:57",538010489,12.71157,43.27855,154.0,13.3,155,0,9286023,"BEKS WIND","V7A6114",80,191,37,10,23,11.4,"ARM GUARD ON BOARD","01-06 12:00"
"2024-01-01 16:09:59",210014000,12.61597,43.39188,302.0,12.1,299,0,9278430,"PANAMAX BREEZE","5BFY4",70,30,195,31,1,7.8,"SUEZ","01-05 23:00"
"2024-01-01 16:11:51",636012855,12.73189,43.26590,156.1,12.3,155,0,9312884,"NS COLUMBUS","A8IK2",89,201,43,17,25,14.7,"ARM GUARDED","01-14 06:30"
"2024-01-01 17:02:58",636022172,12.75781,43.25975,155.3,9.3,511,0,9221229,"VENIA","5LHM8",70,246,42,29,16,17.4,"JAIGARH","01-10 08:00"
"2024-01-01 17:03:29",636012855,12.58526,43.36487,120.3,12.6,120,0,9312884,"NS COLUMBUS","A8IK2",89,201,43,17,25,14.7,"ARM GUARDED","01-14 06:30"
"2024-01-01 17:04:38",210014000,12.76583,43.29752,337.0,12.5,337,0,9278430,"PANAMAX BREEZE","5BFY4",70,30,195,31,1,7.8,"SUEZ","01-05 23:00"
"2024-01-01 18:03:11",636022172,12.61474,43.32923,136.8,9.3,511,0,9221229,"VENIA","5LHM8",70,246,42,29,16,17.4,"JAIGARH","01-10 08:00"
"2024-01-01 18:20:04",271045353,12.74432,43.26098,155.0,12.0,155,0,9804148,"T.SEMAHAT","TCA4692",80,231,46,24,24,15.3,"ARMED SECURITY","01-14 11:00"
"2024-01-01 18:24:55",538010421,12.63685,43.36652,317.9,12.3,317,0,9595670,"SAFEEN AL SAFA","V7A6015",79,197,32,19,13,6.9,"AQABA","01-05 18:00"
"2024-01-01 19:00:02",538010421,12.74611,43.30516,335.2,13.2,334,0,9595670,"SAFEEN AL SAFA","V7A6015",79,197,32,19,13,6.9,"AQABA","01-05 18:00"
"2024-01-01 19:00:09",271045353,12.62164,43.31777,153.3,11.8,152,0,9804148,"T.SEMAHAT","TCA4692",80,231,46,24,24,15.3,"ARMED SECURITY","01-14 11:00"
"2024-01-01 19:00:14",419526000,12.75527,43.25339,155.1,11.5,155,0,9289506,"JAG PAHEL","AUEQ",89,148,34,15,17,11.0,"ARM GUARDS ON BOARD","01-07 17:00"
"2024-01-01 19:19:16",403581000,12.61100,43.39175,303.6,12.7,304,0,9306809,"NCC TABUK","HZAG",80,148,35,10,22,11.2,"SAJED","01-03 21:00"
"2024-01-01 19:41:49",473017200,12.71340,43.43569,165.8,5.8,511,15,0,"AL HASSAN 0172","",70,0,0,0,0,0.0,"",""
"2024-01-01 20:01:42",419526000,12.59069,43.35196,123.1,11.5,122,0,9289506,"JAG PAHEL","AUEQ",89,148,34,15,17,11.0,"ARM GUARDS ON BOARD","01-07 17:00"
"2024-01-01 20:13:48",477098900,12.63268,43.36625,312.4,11.8,316,0,9583823,"HONY FUTURE","VRKM7",70,160,30,9,23,11.8,"EGSUZ","01-06 12:00"
"2024-01-01 22:01:54",621819050,12.73337,43.27069,157.6,8.9,159,0,9359105,"AFRICA SUN","J2JH",70,98,50,16,8,8.6,"DJB","01-01 20:00"
"2024-01-01 22:17:02",403531001,12.59842,43.33346,118.2,13.5,120,0,9626522,"BAHRI JEDDAH","HZFG",79,138,87,9,23,8.0,"CNSGH","01-19 15:00"
"2024-01-01 22:40:12",563533000,12.73622,43.26214,156.3,10.0,157,0,9668295,"INCE EVRENYE","9V2456",70,144,25,13,13,9.8,"DJ JIB","01-02 07:00"
"2024-01-01 22:46:45",352001721,12.77722,43.29090,336.0,16.3,336,0,9243320,"POLLUX","3E2564",89,209,35,20,22,8.0,"SUEZ","01-05 02:00"
