person_nid,person_title,person_round,person_house,country_nid,country_title,person_firstname,person_lastname,person_firstname_local,person_lastname_local,person_bday,person_gender,person_born_abroad,person_birthplace,person_birthcountry,person_marital_stat,person_numchild,person_occupation_1,person_occupation_2,person_occupation_3,person_family_clan_link,person_family_clan_name,person_family_clan_nam_rel,person_lang_native_nid,person_lang_native_title,person_lang_native_rel,person_lang_native_other,person_lang_spoken_nid,person_lang_spoken_title,person_lang_spoken_other,person_lang_english,person_lang_french,person_lang_arabic,person_lang_spanish,person_lang_chinese,person_lang_german,person_lang_russian,person_lang_portuguese,person_lang_other,person_lang_all_count,person_unv_name_1,person_unv_name_2,person_unv_name_3,person_ug_major_all,person_ug_major_1,person_ug_major_2,person_ug_major_3,person_education,person_college_country,person_abroad,person_eduwest,person_course_of_study,person_notes,person_aff_party_nid,person_aff_party,person_party_aff_nonpartisan,person_party_aff_power,person_party_aff_position,prsn_prty_aff_position_local,prsn_prty_aff_coalition_differ,person_party_aff_pol_exp,person_office_type_1,person_office_position_1,person_office_minposarea_1,person_office_minposarea_lo,person_office_service_began_1,prsn_office_srvc_bgn_cabi_1,person_office_terms_1,person_office_pm_participate_1,person_office_howmanydays_1,prsn_office_hwmnydys_miss_1,prsn_office_cnsttncy_nid_1,prsn_office_cnsttncy_title_1,person_office_type_2,person_office_position_2,person_office_minposarea_2,person_office_service_began_2,prsn_office_srvc_bgn_cabi_2,person_office_terms_2,person_office_pm_participate_2,person_office_howmanydays_2,prsn_office_hwmnydys_miss_2,prsn_office_cnsttncy_nid__2,prsn_office_cnsttncy_title_2,person_office_type_3,person_office_position_3,person_office_minposarea_3,person_office_service_began_3,prsn_office_srvc_bgn_cabi_3,person_office_terms_3,person_office_pm_participate_3,person_office_howmanydays_3,prsn_office_hwmnydys_miss_3,prsn_office_cnsttncy_nid_3,prsn_office_cnsttncy_title_3,terms,startReign,,
139443,Ranil Wickremesinghe,"1,2",,87982,Sri Lanka,Ranil,Wickremesinghe,,,1949-01-01,Male,0.0,Colombo,Sri Lanka,Married,,"Self-employed: professional (accountant, architect, lawyer, medical doctor etc.)",,,,,,87984,Sinhala, Sinhalese,,,89201,English,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,law,law,,,University / college,,,,,"http://ranilwickremesinghe.com/personal-profile/
https://www.parliament.lk/en/members-of-parliament/directory-of-members/viewMember/1244
http://ranilwickremesinghe.com/personal-profile/",0,,,,,,,,Executive,Prime Minister,economy,National Policies and Economic Affairs,2015-01-01,,3,,,,283769,colombo,Party leader,Leader,,1994-01-01,2015.0,0,,,,0,,Member of Parliament,,,2015-01-01,,7,,,,0,,3,2015-01-01,
12865,Sheikh Hasina Wazed,"1,2",,9984,Bangladesh,Sheikh Hasina,Wazed,,,1947-01-01,Female,0.0,"Tungipara, Gopalganj",Bangladesh,Widowed,2.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,16769,Bengali,Assumed,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,law,law,,,Ph.D.,,1.0,1.0,Doctor of Law,"She obtains several honorary doctoral degrees (see CV) in different fields. 

http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2116",11815,Bangladesh Awami League,No,Apex,President,,,Party organization/administration,Executive,"Prime Minister, People's Republic of Bangladesh",PM or equivalent,Minister of Defence, Cabinet Division, Armed Forces Division,2009-01-01,,2,,,,0,,Member of Parliament,Party Leader of BAL,defence,,,5,,,,251356,gopalganj-3,"Cabinet, Minister",,,,2014.0,0,,,,0,,2,2009-01-01
80027,Yoweri Kaguta Museveni,"1,2",,16117,Uganda,Yoweri Kaguta,Museveni,,,1944-01-01,Male,0.0,"Rwampara, Ntungamo",Uganda,Married,4.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,,Luganda,,Luganda,18332,Ganda,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,,,,social sciences,social sciences,,,University / college,,1.0,0.0,Bachelor of Arts,Yoweri Museveni is the President of Uganda. He has been president since 1986.,17805,National Resistance Movement,No,Apex,Party President/ founder of the National Resistance Movement,Party President/ founder of the National Resistance Movement,No,Party organization/administration,Executive,President of Uganda,,,2016-01-01,,2,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,2,2016-01-01,,
24604,Viktor Orbán,"1,2",,17591,Hungary,Viktor,Orbán,,,1963-01-01,Male,0.0,"Székesfehérvár, Fejér",Hungary,Married,5.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,24597,Hungarian,,,24597,Hungarian,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,law,law,,,Post-graduate (anything except Ph.D. degree),,0.0,1.0,History of British liberal political philosophy,"Resources: 
www.fidesz.hu
www.miniszterelnok.hu
www.parlament.hu

UPDATE: (Round 2)
https://www.facebook.com/orbanviktor/
http://www.miniszterelnok.hu/
http://www.parlament.hu/aktiv-kepviseloi-nevsor (click on his name) 
",24598,Fidesz - Hungarian Civic Union,No,Apex,Party leader,Part elnőke,No,Party organization/administration,Executive,Prime Minister,,,2014-01-01,,2,,,,0,,Member of Parliament,,,2014-01-01,,6,,,,0,,Party leader,Party Leader,,2003-01-01,,0,,,,0,,2,2014-01-01,,
64927,Jose Maria Pereira Neves,1,,64916,Cape Verde,Jose Maria Pereira,Neves,,,1960-03-18,Male,0.0,"Town of Santa Catariana, Santiago Island",,Married,2.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,64922,Creoles and pidgins|Cape Verdean Language,Assumed,Cape Verdean Language,64921,Portuguese,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,,,,economics / business / management,economics / business / management,,,University / college,,1.0,0.0,Public Administration,Leader of the PAICV since 2000,64924,African Party for the Independence of Cape Verde,No,Apex,President of the PAICV,Presidente,,Party organization/administration,Executive,Prime - Minister ,,,2011-01-01,,2,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,2,2011-01-01,,
105243,Faure Essomzina Gnassingbe,"1,2",,95886,Togo,Faure Essomzina,Gnassingbe,,,1966-01-01,Male,0.0,"Afagnan,  Lacs Prefecture",Togo,Married,,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,Gnassingbe,,105222,Other|Kabye,Assumed,Kabye,105216,Ewe,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,,,,economics / business / management,economics / business / management,,,Post-graduate (anything except Ph.D. degree),,,,Economics,"http://www.republicoftogo.com/Toutes-les-pages-CMS/Biographies/Le-president
https://en.wikipedia.org/wiki/Faure_Gnassingb%C3%A9",105227,The Rally of the Togolese People,Yes,Apex,President,,,,Executive,President of the Republic of Togo,,,2015-01-01,,2,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,2,2015-01-01,,
73341,Lars Løkke Rasmussen,"1,2",,71618,Denmark,Lars Løkke,Rasmussen,,,1964-01-01,Male,0.0,Vejle,Denmark,Married,3.0,"Employed: professional (accountant, architect, lawyer, medical doctor etc.)","Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,71703,Danish,Assumed,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,,law,law,,,Post-graduate (anything except Ph.D. degree),,0.0,1.0,,,71714,Liberal Party (Venstre),No,Top ten,Prime Minister,Statsminister,,,Executive,Prime Minister,PM or equivalent,Statsminister,2015-01-01,,2,,,,0,,"Cabinet, Minister",,,,2015.0,2,,,,0,,Party leader,Party leader,,2009-01-01,,0,,,,0,,2,2015-01-01,,
135400,Denis Sassou Nguesso,"1,2",,134845,Congo,Denis,Sassou Nguesso,,,1943-01-01,Male,0.0,"Edou, Cuvette Region",,Married,,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,Sassou-Nguesso,,135257,Other|Mbochi,Assumed,Mbochi,"135254,135255",French|Lingala,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,,,,military,military,,,"Higher education, non university",,1.0,0.0,,,135327,Congolese Workers Party,No,Apex,Member of PCT&#039,s Political Bureau,Membre du Bureau Politique du Comité Central du Parti Congolais du Travail,,Previous Minister,Executive,President,,,1997-01-01,,6,,,,0,,Executive,President,,1979-01-01,,6,,,,0,,Executive,President of the Republic,,1997-01-01,,2,,,,0,,2,1997-01-01,
5683,Mark Rutte,"1,2",,5588,Netherlands,Mark,Rutte,,,1967-01-01,Male,0.0,"The Hague, The Netherlands",Netherlands,Single,,"Employed: professional (accountant, architect, lawyer, medical doctor etc.)","Employed: middle management (department head, technician etc.)",Employed: top management / director / CEO,,,,5590,Dutch, Flemish,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,,humanities,humanities,,,Post-graduate (anything except Ph.D. degree),,0.0,0.0,History,,5651,People's Party for Freedom and Democracy,No,Apex,Political Leader of Party,Politiek Leider,No,Previous Minister,Party leader,Party Leader and List Leader VVD,,,2006-01-01,,4,,,,0,,Executive,Prime Minister,,2010-01-01,,2,,,,0,,,,,,,0,,,,0,,2,2010-01-01,
5945,Vladimir Vladimirovich Putin,"1,2",,5758,Russian Federation,Vladimir Vladimirovich,Putin,,,1952-01-01,Male,0.0,Leningrad (St. Petersburg),Union of Soviet Socialist Republics (no longer exi...,Divorced,2.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,5768,Russian,,,5768,Russian,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,,,,law,law,,,Post-graduate (anything except Ph.D. degree),,0.0,1.0,,http://putin.kremlin.ru/bio - official webpage of President of Russian Federation,5759,United Russia,No,Apex,Chair,Председатель,No,Supra-national other interest group,Executive,President,,,2012-01-01,,2,,,,0,,Other unelective bodies,"Security Council, Member",,,,0,,,,0,,,,,,,0,,,,0,,2,2012-01-01,,
14393,Asif Ali Zardari,1,,1076,Pakistan,Asif Ali,Zardari,,,1955-01-01,Male,0.0,Karachi,,Widowed,3.0,Employed: other white-collar worker,,,,Zardari,Assumed,4687,Sindhi,Assumed,,4683,Urdu,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,,,,economics / business / management,economics / business / management,,,University / college,,1.0,1.0,,,4702,Pakistan Peoples Party,No,Apex,Co-Chairman,,,Political advisor,Executive,President ,,,2008-01-01,,0,,,,0,,Party leader,Co-Chairman,,2008-01-01,,0,,,,0,,,,,,,0,,,,0,,0,2008-01-01,,
25796,Jong Un Kim,"1,2",,1296,"Korea, North",Jong Un,Kim,,,1984-01-01,Male,0.0,Pyongyang,,,,,,,,"Kim Jong Il(the third son, considered as his successor)",,1314,Korean,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,,military,military,,,University / college,,1.0,0.0,,,1315,Worker's Party of Korea,No,Top ten,a Vice Chairman of Central Military Commission,당 중앙군사위원회 부위원장,,,Executive,Chief of State,,,2011-01-01,,0,,,,0,,Party leader,Chairman of the Workers' Party,,2011-01-01,,0,,,,0,,,,,,,0,,,,0,,0,2011-01-01,,
12008,Bashar al-Assad,"1,2",,5220,Syria (Syrian Arab Republic),Bashar,al-Assad,,,1965-01-01,Male,0.0,"Damascus, Syria",Syrian Arab Republic,,3.0,"Employed: professional (accountant, architect, lawyer, medical doctor etc.)",Military official,,,al-Assad,,5221,Arabic,Assumed,,5221,Arabic,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,medicine,medicine,,,Post-graduate (anything except Ph.D. degree),,0.0,0.0,Medical Doctor,,11996,Arab Socialist Baath Party,No,Apex,President,,No,,Executive,President,,,2000-01-01,,0,,,,0,,Party leader,Regional Secretary of the Regional Command of the Syrian Regional Branch of the Arab Socialist Ba'ath Party,,2000-01-01,,0,,,,0,,,,,,,0,,,,0,,0,2000-01-01,,
12034,Najah Al-Attar,"1,2",,5220,Syria (Syrian Arab Republic),Najah,Al-Attar,,,1933-01-01,Female,0.0,"Damascus, Syria",Syrian Arab Republic,,,Education: school teacher,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,al-Azm,Assumed,5221,Arabic,Assumed,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,humanities,humanities,,,Post-graduate (anything except Ph.D. degree),,0.0,0.0,Arabic Literature,,11996,Arab Socialist Baath Party,No,Top ten,Vice president - active member in the Baath Party,,No,Party organization/administration,Executive,Vice-President,PM or equivalent,,2006-01-01,,0,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,0,2006-01-01,,
6046,Jinping Xi,"1,2",,5693,"China, People's Republic of",Jinping,Xi,,,1953-01-01,Male,0.0,Beijing,,Married,1.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",Military official,,,Zhongxun Xi （习仲勋）,,6028,Chinese,,,6028,Chinese,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,,,,law,law,,,Post-graduate (anything except Ph.D. degree),,0.0,0.0,Doctor of Laws in Marxism,,6010,Communist Party of China,No,Top ten,"Member of the Standing Committee of the 17th Politburo of the CPC Central Committee, member of the Secretariat of the CPC Central Committee，Vice-President of The Central Military Commission of CPC，President of Party School of the CPC Central Committee",17届中共中央政治局常委，中央书记处书记，中央党校校长，中共中央军事委员会副主席,No,Party organization/administration,Executive,President of P. R. China,,,2013-01-01,,0,,,,0,,Party leader,"General Secretary, 19th CPC, Politburo Standing Committe",,2017-01-01,,1,,,,0,,Party leader,Chairman of the Central Military Comission,,2012-01-01,,0,,,,0,,0,2013-01-01,,
5944,Dmitry Anatolievich Medvedev,"1,2",,5758,Russian Federation,Dmitry Anatolievich,Medvedev,,,1965-01-01,Male,0.0,Leningrad (St.Petersburg),Union of Soviet Socialist Republics (no longer exi...,Married,1.0,Education: university professor,,,,,,5768,Russian,,,5768,Russian,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,,,,law,law,,,Post-graduate (anything except Ph.D. degree),,0.0,1.0,,,0,,No,Apex,,,,Political advisor,Executive,Prime Minister,,,2012-01-01,,0,,,,0,,Party leader,"Chairman of ""United Russia""",,2012-01-01,,0,,,,0,,,,,,,0,,,,0,,0,2012-01-01,,
6806,Mihai Ghimpu,"1,2",,6356,"Moldova, Republic of",Mihai,Ghimpu,,,1951-01-01,Male,0.0,Colonita,"Moldova, Republic of",Married,,"Self-employed: professional (accountant, architect, lawyer, medical doctor etc.)",,,,,,6357,Romanian, Moldavian, Moldovan,,,6358,Russian,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,,,,law,law,,,University / college,,0.0,1.0,Law,"A pro-Romanian politician, currently holds the two most important positions in the state: president (interim) and speaker of the Parliament.",6776,Liberal Party,No,Apex,President,presedinte,No,Party organization/administration,Member of Parliament,Deputy,,,2010-01-01,,0,,,,0,,Executive,President ,,2009-01-01,,0,,,,0,,Assembly leader,President of Parliament,,1997-01-01,,0,,,,0,,0,2009-01-01
8272,Ayatollah Seyyed Ali Hoseyni Khamenei,1,,6470,"Iran, Islamic Republic of",Ayatollah Seyyed Ali,Hoseyni Khamenei,,,1939-01-01,Male,0.0,Mashhad,,Married,6.0,Other,,,,,,9214,Azerbaijani|Persian ,,Persian ,9220,Arabic,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,,,,other,other,,,"Higher education, non university",,0.0,0.0,Ejtehad,"Ayatollah Ali Khamenei is Iran's leader (Supreme Leader )and highest authority. His veto is final in Iranian political affairs.

http://english.khamenei.ir//index.php?option=com_content&task=view&id=57&Itemid=20

http://www.leader.ir/langs/en/
",0,,No,Apex,,,,,Executive,Supreme Leader of Iran,,,1989-01-01,,0,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,0,1989-01-01,,
14041,Yagub Eyyubov,1,,6868,Azerbaijan,Yagub,Eyyubov,,,,Male,0.0,"Baku, Azerbaijan",,,,"Employed: professional (accountant, architect, lawyer, medical doctor etc.)",Employed: blue-collar worker,Education: university professor,,,,10024,Azerbaijani,,,10025,Russian,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,,,,engineering,engineering,,,University / college,,0.0,0.0,,,10029,New Azerbaijan Party,No,No,,,,National employers organization,Executive,First Deputy Prime Minister ,,,2003-01-01,,0,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,0,2003-01-01,,
10044,Ilham Aliyev,"1,2",,6868,Azerbaijan,Ilham,Aliyev,,,1968-01-01,Male,,,,Married,3.0,,,,,,,10024,Azerbaijani,Assumed,,10025,Russian,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,,,,social sciences,social sciences,,,Ph.D.,,,,,,10029,New Azerbaijan Party,No,Apex,Chairman of the New Azerbaijan Party,,No,Party organization/administration,Executive,President of Azerbaijan Republic,,,2003-01-01,,0,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,0,2003-01-01,,
261774,Alexander Lukashenko,,,8183,Belarus,Alexander,Lukashenko,,,1954-01-01,Male,0.0,"Kopys, Byelorussian SSR",Union of Soviet Socialist Republics (no longer exi...,Married,3.0,"Self-employed: farmer, fisherman",International organization top management,,,,,9293,Belarusian,Assumed,,9291,Russian,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,,,,social sciences|law,social sciences,law,,University / college,,0.0,,,,0,,,,,,,,Executive,President,,,1994-01-01,,0,,,,0,,,,,2017-01-01,,0,,,,0,,,,,2017-01-01,,0,,,,0,,0,1994-01-01,,
68964,José Daniel Ortega Saavedra,"1,2",,64625,Nicaragua,José Daniel,Ortega Saavedra,,,1945-01-01,Male,0.0,"La Libertad, Chontales",Nicaragua,Married,8.0,No (previous) occupation (including unemployed),"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,Ortega Murillo,,65612,Spanish, Castilian,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,University / college,,0.0,0.0,,,64643,Sandinista National Liberation Front,No,Apex,Secretary General,Secretario General,No,Party organization/administration,Executive,President of the Republic,,,2007-01-01,,1,,,,0,,Party leader,President of the Sandinista National Liberation Front,,,,0,,,,0,,,,,,,0,,,,0,,1,2007-01-01,
