,Kamerun,Äquatorial Guinea,Iran,Uganda,Eritrea,Tadschikistan,Belarus,Kongo,Djibouti,Russland,Ruanda,Syrien,Saint Vincent und Grenadinen,Azerbaidschan,Uzbekistan,Türkei,Singapur,Dominica
2010,258.2959156123707,8214.973305517602,160.12004798599207,225.56101470248683,103.3380839143988,119.3093351948844,312.760652938039,266.727588631059,64.76243674767986,702.1741469548892,132.90175664074883,128.753179209374,62.09727194245957,561.2631921646436,339.56762197773355,125.78566073038763,71.09731304019189,34.130150187708296
2011,287.8418845742317,10309.070102644044,230.31994897403274,230.43935666874006,159.2359860594031,148.22523789597,346.47958884049456,322.7127882859983,77.49788145857664,975.4076273282994,155.1787318077847,-39.87512988363583,61.49455576032469,713.6108471179284,417.4680793824731,140.19832689101892,95.2017561533988,36.11150824365444
2012,271.21858708220145,10363.18613215703,235.45182449961987,214.49768338847508,,184.2137218544588,375.58685596127754,364.64891293071304,90.34459858061336,1058.8033752591234,176.82041322867963,-61.33829364787561,66.11541672227884,748.2435453129417,472.086088365357,148.9660143236712,101.2003561304208,31.748656110988748
2013,303.69096409773704,9742.956435774955,152.9554170673239,223.59526240376783,,207.60603786178268,447.05360277947193,360.4144488838066,182.0959227151871,1100.4159770484264,176.1476192369273,-79.89134918552551,75.0474941792402,791.1860909790452,510.4574097951787,167.34953552566765,106.34330879344321,35.218499431405235
2014,322.4820051243623,9274.550704308404,131.8859330413404,254.28741549102477,,224.2286402826664,470.52851535188654,348.55103295880446,200.4688888751408,959.2200035903088,184.1075456099491,-78.32322630400004,77.33590376102083,792.93951907644,563.1195963243487,158.57190145691453,108.5070830116031,40.10088215265958
2015,262.40275431110723,5360.739956391875,101.01073821181109,241.1306974800902,,187.4732149264657,308.13623650737225,203.92035271186154,223.3078334610817,599.8287493270448,187.67269489031617,-82.64825082704053,81.66793685409138,522.4453804564081,594.7840706468631,134.86778003115356,101.55551140972423,44.24522991903177
2016,269.2356683920509,4382.459723091388,121.40230694144228,197.51309830286448,,137.4156461460197,244.71114740849043,160.8644826880859,241.6150871697393,554.1309351695703,185.7057726947641,-86.55682946139082,88.99801613942151,339.14425810965287,582.3479939957084,133.16845849263242,106.08335778917814,53.56395545009039
2017,283.16467500984504,4591.702143946357,131.928117040328,202.44472507991793,,150.14607223097363,295.71961337067285,175.74482926442727,256.3753421384812,705.581364800624,196.55513520402275,-82.55069234870768,96.66743883083544,369.30326594172476,383.5699071666519,127.3340490898307,121.54708812506715,38.34489457043725
2018,312.7326956918437,4763.958617133199,55.089592144867765,213.0832897337321,,152.01297471973817,335.01563796818266,236.0899034743124,269.8085362815343,748.1903741692804,201.41418599735738,-77.50090537839479,106.58046747247326,436.36235220437493,304.7295073013247,103.38572921863062,142.09043860616242,46.28363692463367
2019,298.39577307901175,3981.9726419295525,31.971735918751364,224.88484102407506,,163.376192492884,367.69045814890154,210.5545166321598,285.9390081415716,766.8943343261863,215.97922557034417,-77.24495962562958,113.48008620428652,443.82641909319545,352.9014888427868,95.87430751699898,139.31576111117775,59.88623848230671
2020,298.51037916267234,3358.0518064844073,10.61246222557071,234.30206016142512,,152.50572451551054,347.5195956381193,148.95279685025704,292.0708689365624,666.0632149720168,203.3073153898202,-89.1318038313829,104.28470711148304,378.66313933265843,343.84591567297196,83.61650499617929,121.94224165408892,30.788655859782324
2021,328.3188331415197,4031.45071563233,64.49178820008348,248.74361746634668,,171.57310778405116,412.2826514679567,214.45707198106606,310.96666795669876,841.7233106848972,221.8866609068436,-91.48856229722271,105.60548461601775,511.9826588551182,402.909995849724,107.09211322094987,181.47589111421945,43.20160015125251
2022,304.8172342362683,3906.593976915629,88.06769724598368,280.6903805114809,,212.30721391493046,439.54236169366277,227.9182554460777,320.837926207727,1047.5200757909647,278.74823341171344,,124.42612497058047,778.3681110055614,468.9395663466446,126.88671561415563,199.9398329113389,55.957168680455936
